name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
Timothy Morris,M,885268952,2002-10-11,Senior,School of Communication and Information,0,0,['SA' 'MZH' 'MS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Jill Oliver,F,792682632,2002-02-11,Freshman,Mason Gross School of the Arts,0,0,['AH' 'NCA' 'JS'],Suite,1,1,1,8000-11000,11000
Colin Marshall,M,597444362,2000-11-16,Junior,School of Communication and Information,0,0,['BS' 'NCA' 'RA'],Suite,1,1,1,4000-6000,6000
Daniel Joseph,M,935941028,2004-08-13,Junior,School of Arts and Sciences,0,0,['BS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,11000
Amber Gutierrez,F,536878239,2000-05-10,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['MH' 'RA' 'MZH'],Suite,1,1,0,4000-6000,6000
David Cervantes,M,616017998,2001-05-27,Junior,School of Arts and Sciences,0,0,['RA' 'NCA' 'SA'],Apartment,1,1,1,4000-6000,6000
Megan Schmidt,F,831404477,2001-08-01,Freshman,School of Arts and Sciences,0,1,['NCA' 'TS' 'BS'],Apartment,1,1,1,8000-11000,10000
Jennifer Ellis,F,606655964,2001-04-27,Freshman,School of Engineering,0,0,['SA' 'RA' 'NCA'],Apartment,1,1,1,8000-11000,11000
William Wang,M,978378406,2004-03-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MZH' 'RA' 'SA'],Apartment,1,1,1,4000-6000,6000
Gregory Walker,M,265669929,2005-03-05,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['MZH' 'BS' 'CS'],Traditional Residence Hall,1,1,1,8000-11000,10000
Sandra King,F,937400755,2000-07-12,Freshman,School of Arts and Sciences,0,1,['BS' 'TS' 'MH'],Suite,1,1,1,8000-11000,10000
Ann Rocha,F,250803219,2000-12-19,Sophomore,School of Environmental and Biological Sciences,0,0,['SA' 'BS' 'BH'],Apartment,1,1,1,4000-6000,6000
Laura Gutierrez,F,140758708,2001-05-18,Sophomore,School of Environmental and Biological Sciences,0,0,['NCA' 'BS' 'SA'],Suite,1,1,1,8000-11000,11000
Emily Miller,F,506263035,2002-08-15,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,10000
