name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status
Joshua Larsen,M,603545024,1999-04-02,Doctorate,School of Graduate Studies,0,0
Jason Solis,M,783171671,1997-04-25,Masters,School of Graduate Studies,0,0
Linda Vazquez,F,994736362,1998-08-10,Masters,School of Graduate Studies,0,0
Colton Baker DDS,M,157586110,1998-06-11,Masters,School of Graduate Studies,0,0
Cindy Mccormick,F,494613613,1995-07-01,Postdoctoral studies,Graduate School of Education,0,0
Monica Cooper,F,176044147,1993-10-02,Masters,Graduate School of Applied and Professional Psychology,0,1
Albert Gordon,M,332092999,1994-10-15,Doctorate,School of Graduate Studies,0,0
Zachary Johnson,M,134112246,1999-04-06,Masters,School of Graduate Studies,0,0
Chad Abbott,M,508366243,2000-07-25,Masters,School of Graduate Studies,0,1
Diana Smith,F,429176246,1995-09-11,Doctorate,School of Graduate Studies,0,0
Nicole Miller,F,358095529,1997-11-12,Masters,School of Graduate Studies,0,1
Nicole Rosario,F,722274831,2000-01-15,Doctorate,School of Graduate Studies,0,0
Terry Davis,M,813450904,1996-06-20,Masters,School of Graduate Studies,0,0
Lucas Copeland,M,422946800,2000-05-03,Postdoctoral studies,School of Graduate Studies,0,0
Diane Suarez,F,259906072,1995-10-29,Masters,Graduate School of Education,0,0
Judy Johnson,F,414749341,1997-04-15,Masters,School of Graduate Studies,0,0
Kathryn Chapman,F,836989612,1994-09-17,Masters,School of Graduate Studies,0,0
Sarah David,F,315282040,2000-06-09,Doctorate,School of Graduate Studies,1,1
Christy Barnett,F,762795550,1997-01-30,Doctorate,School of Graduate Studies,0,1
Tracy Villanueva,M,421991698,1997-02-19,Postdoctoral studies,School of Graduate Studies,0,0
Michael Turner,M,842887106,1995-03-23,Doctorate,School of Graduate Studies,0,1
William Sandoval,M,936525838,1995-04-28,Doctorate,School of Graduate Studies,0,0
Robert Owens,M,514053184,1997-03-30,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Joshua Gregory,M,895140804,1996-02-20,Doctorate,School of Graduate Studies,0,0
Rachel King,F,711847072,1995-10-21,Doctorate,School of Graduate Studies,0,0
Robert Sims,M,829564174,2000-02-15,Masters,School of Graduate Studies,0,0
Lisa Singh,F,914706402,1995-12-24,Doctorate,School of Graduate Studies,0,0
Julie Tucker,F,762438285,1999-12-15,Doctorate,School of Graduate Studies,0,0
James Carr,M,525811608,1998-04-20,Doctorate,School of Graduate Studies,0,1
Elizabeth Allen,F,899976717,1998-09-16,Masters,School of Graduate Studies,0,0
Jesse Wood,M,607081036,1999-09-10,Masters,School of Graduate Studies,0,1
Kimberly Duffy,F,289381823,1999-03-13,Doctorate,School of Graduate Studies,0,0
Stephanie Mora,F,205651029,1995-01-04,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Anthony Pearson,M,229104099,2000-02-25,Masters,School of Graduate Studies,0,0
Danielle Bowman,F,382639609,2000-09-07,Masters,School of Graduate Studies,0,0
Mary Stewart,F,567512832,1994-11-06,Masters,School of Graduate Studies,0,1
Kevin Rose,M,547977516,1999-04-21,Postdoctoral studies,Graduate School of Education,0,0
Charles Garcia,M,231391874,1996-02-12,Doctorate,Graduate School of Education,0,1
Rebecca Parker,F,239783000,2000-04-01,Doctorate,School of Graduate Studies,0,0
Christopher Aguilar,M,745660820,1996-03-16,Masters,Graduate School of Applied and Professional Psychology,0,1
Brian Murphy,M,233361226,1998-07-27,Doctorate,School of Graduate Studies,0,0
Richard Powell,M,961472000,1995-08-29,Masters,School of Graduate Studies,0,0
Dr. Nancy Frank,F,130742400,1998-08-26,Masters,Graduate School of Education,0,1
Russell Berger,M,381376270,1995-10-26,Masters,Graduate School of Education,0,1
Ronald Johnson,M,623708873,1995-07-31,Doctorate,School of Graduate Studies,0,0
Morgan Ford,F,228422476,1994-12-31,Doctorate,School of Graduate Studies,0,0
Steven Reynolds,M,901825017,1995-07-29,Masters,School of Graduate Studies,0,0
Brandon Weaver,M,747684848,1999-06-24,Masters,School of Graduate Studies,0,0
Julie Gomez,F,307713940,1996-11-27,Masters,School of Graduate Studies,0,0
Nancy Williams,F,241318311,1997-08-05,Postdoctoral studies,School of Graduate Studies,0,1
Daniel Moss,M,642932342,1995-11-09,Masters,School of Graduate Studies,1,1
Andrew Rodgers,M,294260843,1999-11-23,Masters,Graduate School of Applied and Professional Psychology,0,0
Anthony Griffin,M,842142580,1997-10-03,Masters,School of Graduate Studies,0,0
James Salinas,M,889691268,1994-03-05,Doctorate,Graduate School of Applied and Professional Psychology,0,1
Rebecca Whitaker,F,720963806,1995-01-19,Masters,School of Graduate Studies,0,0
Crystal Williams,F,278745651,1993-12-16,Masters,Graduate School of Education,0,1
Michael Perez,M,395500151,2000-06-18,Masters,School of Graduate Studies,0,0
Patrick Brennan,M,939235945,1993-10-21,Postdoctoral studies,School of Graduate Studies,0,0
Corey Wells DDS,M,400070642,1997-12-10,Postdoctoral studies,School of Graduate Studies,0,0
Victoria Anderson,F,468961561,1997-01-18,Masters,School of Graduate Studies,0,0
Clifford Stewart,M,237791238,1999-06-01,Doctorate,Graduate School of Applied and Professional Psychology,1,1
Robert Calderon,M,637462716,1994-05-27,Masters,Graduate School of Applied and Professional Psychology,0,0
David Rogers,M,719358778,1994-06-24,Postdoctoral studies,School of Graduate Studies,0,0
Guy Becker,M,773797848,1999-03-11,Masters,School of Graduate Studies,0,0
Amanda Howard,F,373847470,1996-05-22,Masters,School of Graduate Studies,0,1
Cynthia Mata,F,632470421,1995-05-10,Masters,School of Graduate Studies,0,0
Austin Lopez,M,947114157,1996-01-15,Doctorate,School of Graduate Studies,0,1
Samantha Brown,F,251240116,1997-04-10,Doctorate,School of Graduate Studies,0,0
Erica Horn,F,817427770,1997-10-31,Masters,School of Graduate Studies,0,1
Lonnie Knight,M,476444722,1996-12-02,Masters,School of Graduate Studies,0,0
Christina Dalton,F,257005933,1996-08-18,Doctorate,School of Graduate Studies,0,1
Luis Davis,M,169773368,1999-03-05,Masters,School of Graduate Studies,1,0
David Goodman,M,661562046,1998-05-06,Doctorate,Graduate School of Education,0,0
