name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preference
Jared Vega,M,162007866,2000-02-15,Freshman,School of Environmental and Biological Sciences,0,0,['SA' 'RA' 'WS'],Apartment,1,1,1,4000-6000,6000,[]
Jason Harrell,M,629404199,2002-08-22,Senior,School of Arts and Sciences,0,0,['BS' 'MS' 'RA'],Suite,1,1,1,4000-6000,6000,[]
Diana Cox,F,100656641,2003-04-21,Junior,School of Arts and Sciences,0,0,['AH' 'CS' 'MZH'],Apartment,1,1,1,6000-8000,8000,[]
Laurie Robinson,F,806532351,2005-05-17,Freshman,Mason Gross School of the Arts,0,0,['JS' 'BH' 'RA'],Suite,1,1,1,6000-8000,8000,"[435863092, 246251245, 574046326]"
Jordan Russell,M,658349376,2004-06-28,Freshman,School of Management and Labor Relations,0,1,['NCA' 'SA' 'MH'],Apartment,1,0,1,4000-6000,5000,"[924465854, 295235831, 210093608]"
Courtney Becker,F,735157040,2004-10-05,Sophomore,School of Engineering,0,1,['RA' 'BH' 'CS'],Apartment,1,1,1,6000-8000,7000,[]
Breanna Newman,F,945159832,2000-11-21,Freshman,School of Arts and Sciences,0,1,['WS' 'JS' 'RA'],Suite,1,1,1,4000-6000,5000,[]
Michael Carter,M,622354398,1999-12-07,Sophomore,School of Social Work,1,0,['CS' 'BS' 'SA'],Suite,1,1,1,8000-11000,11000,"[499406546, 345454137, 842278371]"
Kayla Foster,F,706018828,2002-01-09,Junior,School of Engineering,0,0,['BH' 'RA' 'SA'],Suite,1,1,1,8000-11000,11000,"[286282982, 295554533, 316663207]"
Justin Sullivan,M,581484092,2000-03-21,Freshman,School of Arts and Sciences,0,0,['MH' 'AH' 'RA'],Apartment,1,1,1,4000-6000,6000,"[302607308, 875803976, 410648586]"
Mrs. Michelle Pearson,F,954249740,2004-10-22,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'SA' 'MZH'],Apartment,1,1,1,4000-6000,6000,"[855311905, 522928559, 260080433]"
Christopher Harris,M,644399441,2001-12-07,Senior,School of Management and Labor Relations,0,0,['SA' 'JS' 'BH'],Suite,1,1,1,6000-8000,8000,"[351940869, 632694021, 821941575]"
Jeff Burke,M,810827433,2004-01-01,Junior,School of Arts and Sciences,0,0,['AH' 'SA' 'RA'],Apartment,1,1,1,8000-11000,11000,"[336672783, 805228330, 163468111]"
Tanya Wright,F,604045608,2004-09-09,Sophomore,School of Arts and Sciences,0,0,['BH' 'RA' 'MS'],Apartment,1,1,1,4000-6000,6000,"[505884064, 529189940, 970865786]"
Jennifer Lawrence,F,970467791,2005-07-05,Sophomore,School of Communication and Information,0,1,['BS' 'MH' 'TS'],Suite,1,1,1,4000-6000,5000,"[285779432, 743812944, 527754329]"
Michelle Harris,F,274006924,2001-10-14,Junior,School of Arts and Sciences,0,1,['AH' 'WS' 'MH'],Suite,1,1,1,8000-11000,10000,"[552020120, 582472864, 500368108]"
David Woods,M,117096787,2004-04-14,Senior,School of Communication and Information,0,1,['RA' 'MRS' 'SA'],Suite,1,1,1,4000-6000,5000,[]
Jasmine Robertson,F,230035278,2002-02-10,Sophomore,School of Arts and Sciences,0,1,['NCA' 'SA' 'MRS'],Suite,1,0,1,4000-6000,5000,[]
Kevin Garcia,M,879893047,2004-12-03,Senior,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'RA' 'BH'],Suite,1,1,1,4000-6000,5000,"[755065356, 697962719, 354810169]"
Lisa Whitney,F,867642528,2003-09-20,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'WS' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,11000,[]
Debra Smith,F,885838399,2005-01-16,Freshman,School of Arts and Sciences,0,0,['RA' 'MH' 'SA'],Suite,1,1,0,4000-6000,6000,"[481869832, 444890843, 356665378]"
Donald Jordan,M,177149370,2000-01-02,Freshman,School of Arts and Sciences,0,1,['SA' 'MH' 'NCA'],Traditional Residence Hall,1,0,1,4000-6000,5000,[]
Gary Gilbert,M,290349933,2003-07-25,Junior,School of Arts and Sciences,0,1,['SA' 'NCA' 'RA'],Apartment,1,0,1,8000-11000,10000,"[713064474, 572966570, 991948036]"
Jill Li,F,537778712,2004-05-11,Freshman,School of Arts and Sciences,0,0,['SA' 'CS' 'MH'],Suite,1,1,1,4000-6000,6000,"[258002659, 785061305, 757330123]"
Courtney Ford,F,455441416,1999-12-09,Sophomore,School of Arts and Sciences,0,1,['BH' 'NCA' 'BS'],Apartment,1,1,1,6000-8000,7000,"[762860986, 770493900, 303752212]"
Jason Patel,M,795512525,2002-02-28,Freshman,School of Arts and Sciences,0,1,['NCA' 'BS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[518151831, 128347143, 493145812]"
Kathy Martinez,F,606324431,2005-01-21,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'SA' 'NCA'],Suite,1,1,1,8000-11000,11000,[]
Tony Travis,M,993728458,2002-11-08,Junior,School of Communication and Information,0,0,['SA' 'BS' 'MS'],Apartment,1,1,1,8000-11000,11000,"[856147125, 712716318, 219960270]"
Cameron Brown,M,936184353,1999-12-16,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'BH'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[354685020, 772798005, 935719503]"
Thomas Forbes,M,194903026,2000-12-04,Freshman,School of Communication and Information,0,0,['SA' 'MH' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[848996254, 352704583, 412935964]"
Hailey Cunningham,F,447951256,2003-03-06,Junior,School of Arts and Sciences,0,0,['BS' 'NCA' 'SA'],Suite,1,1,1,4000-6000,6000,[]
Daniel Torres,M,940127485,2004-12-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['JS' 'MRS' 'BH'],Apartment,1,1,1,6000-8000,8000,"[214682307, 949987228, 652995862]"
Joshua Tran,M,242486364,2002-04-27,Sophomore,Mason Gross School of the Arts,0,1,['MS' 'WS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[767992204, 536766565, 278750228]"
Alex Hobbs,M,591839865,2003-08-12,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MS' 'RA'],Traditional Residence Hall,1,1,0,4000-6000,6000,"[951916777, 331307895, 227357290]"
Christine Reilly,F,885398851,2004-03-18,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'RA' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[503631514, 298311410, 867726678]"
Thomas Lane,M,199284254,2000-01-22,Freshman,School of Social Work,0,1,['BS' 'RA' 'WS'],Suite,1,1,1,4000-6000,5000,"[947191554, 998773712, 858392846]"
Leroy Smith,M,163468111,2005-09-18,Freshman,School of Management and Labor Relations,0,0,['NCA' 'BS' 'SA'],Suite,1,1,0,8000-11000,11000,[]
Randall Floyd,M,323805004,2000-11-21,Freshman,School of Arts and Sciences,0,1,['BH' 'BS' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[359997801, 637524744, 748382020]"
Amy Roy,F,539776937,2003-10-11,Senior,School of Environmental and Biological Sciences,1,0,['CS' 'SA' 'JS'],Suite,1,1,1,8000-11000,11000,"[944976775, 302842034, 156425359]"
Patricia Brown,F,602729464,2001-01-03,Junior,School of Arts and Sciences,0,0,['BS' 'WS' 'RA'],Suite,1,1,1,6000-8000,8000,[]
Lauren Gonzalez,F,315764523,2003-08-19,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'TS' 'AH'],Suite,1,1,1,8000-11000,11000,[]
Cynthia Marsh,F,186133490,2001-07-23,Junior,Mason Gross School of the Arts,0,1,['TS' 'AH' 'MH'],Suite,1,1,1,8000-11000,10000,"[235392605, 616003809, 251443883]"
