name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status
Katie Singh,F,475643757,2004-05-12,Freshman,School of Communication and Information,0,1
Jodi Scott,F,149536653,2003-03-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Wayne Lopez,M,967399872,2002-01-31,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Anne Mitchell,F,451275328,2002-06-22,Senior,School of Communication and Information,0,1
Heather Moore,F,202137059,2003-09-26,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0
Elizabeth Butler,F,779313177,2005-06-24,Freshman,Mason Gross School of the Arts,0,1
Corey Dean,M,818552107,2003-11-19,Freshman,School of Management and Labor Relations,0,1
Christina Poole,F,130789389,2004-01-23,Sophomore,School of Arts and Sciences,0,0
Wesley Villanueva MD,M,282916109,2000-01-07,Freshman,School of Management and Labor Relations,0,0
James Hanson,M,568619157,2001-12-08,Junior,School of Arts and Sciences,0,0
Antonio Washington,M,438579965,2000-06-24,Sophomore,School of Engineering,0,0
Michelle Edwards,F,753115997,2001-05-19,Freshman,School of Management and Labor Relations,0,0
Melissa Bean,F,439431871,2001-12-08,Sophomore,Mason Gross School of the Arts,1,1
Chelsea Wilson,F,100153171,2000-02-21,Junior,School of Arts and Sciences,0,0
Tony Hughes,M,883106598,2002-02-18,Freshman,School of Social Work,0,0
Bradley Ruiz,M,944807885,2004-05-26,Junior,School of Social Work,0,1
James Gomez,M,178831941,2003-11-13,Sophomore,Mason Gross School of the Arts,0,1
Scott Martin,M,263620034,2003-03-12,Sophomore,School of Arts and Sciences,0,0
Walter Foster,M,261226526,2001-02-08,Freshman,Rutgers Business School–Newark and New Brunswick,0,1
Bobby Chavez MD,M,785097578,2001-04-21,Junior,Mason Gross School of the Arts,0,1
Robert Chen,M,427816198,2004-06-23,Freshman,Mason Gross School of the Arts,0,1
Mark Gibbs,M,738372963,2005-01-26,Freshman,School of Arts and Sciences,0,0
Connie Craig,F,365580710,2002-02-12,Sophomore,School of Arts and Sciences,0,0
Kevin Rodriguez MD,M,379215366,2003-12-07,Junior,School of Social Work,0,1
Cassandra Hansen,F,786101372,2001-11-20,Sophomore,School of Arts and Sciences,0,0
Kenneth Pennington,M,756683296,2003-03-14,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Jonathan Harding,M,856828372,2005-07-10,Freshman,School of Arts and Sciences,0,0
Jessica Smith,F,421156751,2002-06-01,Junior,School of Arts and Sciences,0,0
James Oneal,M,231721214,2001-05-22,Freshman,School of Arts and Sciences,0,0
Kimberly Martin,F,778746313,2004-03-16,Freshman,School of Arts and Sciences,0,0
Ana Wise,F,660607339,2003-08-17,Sophomore,School of Engineering,0,0
Stephen Clark,M,585397160,2004-08-17,Junior,School of Arts and Sciences,1,0
Keith Hester,M,828711677,2003-01-28,Sophomore,School of Arts and Sciences,0,0
Dawn Golden,F,485611276,2003-01-28,Junior,Rutgers Business School–Newark and New Brunswick,0,1
Tiffany Romero,F,285144094,2000-10-15,Sophomore,School of Communication and Information,1,0
David Davis,M,807078092,2005-08-13,Freshman,School of Arts and Sciences,0,1
Elijah Le,M,773781965,2002-05-10,Freshman,School of Arts and Sciences,0,0
Nicole Gardner,F,669831116,2004-03-21,Freshman,Mason Gross School of the Arts,0,0
Dr. Roberto Smith,M,891765813,2000-10-22,Sophomore,School of Arts and Sciences,0,1
