name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
Jennifer Simmons,F,977522906,2000-10-10,Sophomore,School of Engineering,1,0,['WS' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000,[]
Courtney Murphy,F,567583671,1999-10-10,Sophomore,School of Arts and Sciences,0,0,['TS' 'BS' 'RA'],Apartment,1,1,1,4000-6000,7000,[387304693]
Alexander King,M,450859644,2002-08-26,Freshman,School of Arts and Sciences,0,0,['RA' 'MS' 'NCA'],Apartment,1,1,1,6000-8000,9000,"[635228222, 156755286]"
Amanda Atkinson,F,826829351,2000-09-23,Sophomore,Mason Gross School of the Arts,0,1,['AH' 'SA' 'MS'],Suite,1,1,1,8000-11000,12000,[121701820]
Mark Rogers,M,852305641,2001-10-16,Junior,School of Arts and Sciences,0,0,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[876496616, 433175014]"
Lindsay Moore,F,691318429,2004-11-23,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['CS' 'SA' 'BS'],Suite,1,1,1,8000-11000,12000,[343056872]
David Grant,M,585749760,2001-10-06,Junior,Mason Gross School of the Arts,1,0,['RA' 'BS' 'JS'],Apartment,1,1,1,8000-11000,12000,[128591158]
Michael Wood,M,405883909,2003-03-10,Sophomore,School of Arts and Sciences,1,1,['BH' 'CS' 'WS'],Apartment,1,1,1,8000-11000,12000,"[666056377, 668098417]"
Deanna Russell,F,966729559,2003-09-19,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'MH'],Apartment,1,1,1,8000-11000,12000,[101595244]
Laura Manning,F,940833526,2003-07-07,Freshman,Mason Gross School of the Arts,1,1,['BS' 'SA' 'BH'],Apartment,1,1,1,8000-11000,12000,"[508705937, 804235221]"
Laura Perez,F,694594287,2001-05-13,Sophomore,School of Arts and Sciences,0,0,['MZH' 'CS' 'NCA'],Suite,1,1,1,6000-8000,9000,"[994668860, 661443663]"
Andrew Hayes,M,942108763,2005-07-17,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['WS' 'BS' 'CS'],Apartment,1,1,1,4000-6000,7000,"[293664925, 975155214]"
Heather Cooper,F,290282480,2005-09-17,Freshman,School of Arts and Sciences,0,1,['RA' 'CS' 'SA'],Apartment,1,0,1,8000-11000,12000,"[326657965, 998874036]"
Molly Smith,F,156192943,2001-04-10,Freshman,School of Arts and Sciences,0,1,['NCA' 'MRS' 'BS'],Apartment,1,1,1,4000-6000,7000,[145246176]
Stephen Morgan,M,489914871,2004-03-11,Freshman,School of Social Work,0,0,['NCA' 'BS' 'MS'],Suite,1,1,1,4000-6000,7000,"[596285679, 607861853]"
Jason Brown,M,241225895,2005-02-02,Sophomore,School of Engineering,0,0,['NCA' 'RA' 'MRS'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[617413739, 877857792]"
Sarah Rogers,F,203276565,2005-06-08,Freshman,School of Social Work,0,0,['RA' 'BS' 'NCA'],Suite,1,1,1,4000-6000,7000,[223835919]
Dave Diaz,M,338383548,2005-06-13,Freshman,School of Engineering,0,1,['MZH' 'AH' 'WS'],Apartment,1,1,1,4000-6000,7000,"[516871193, 290926850]"
Betty Morales,F,914367253,2004-06-21,Sophomore,School of Arts and Sciences,0,0,['SA' 'TS' 'MRS'],Suite,1,1,1,8000-11000,12000,"[987291052, 979417663]"
Holly Lopez,F,924085406,2005-03-14,Sophomore,School of Arts and Sciences,0,0,['MH' 'MS' 'SA'],Suite,1,1,1,8000-11000,12000,[562991982]
Sarah Brennan,F,271337775,2000-04-15,Freshman,School of Arts and Sciences,0,0,['TS' 'WS' 'RA'],Suite,1,1,1,8000-11000,12000,"[118606903, 332071049]"
Marilyn Smith,F,141565380,2001-04-16,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'BH' 'NCA'],Suite,1,1,1,4000-6000,7000,"[384980223, 947577575]"
Erica Chambers,F,233162418,1999-11-07,Sophomore,School of Arts and Sciences,0,0,['NCA' 'RA' 'JS'],Apartment,1,1,1,4000-6000,7000,[328235174]
Jack Brooks,M,670422954,2003-09-17,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'JS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[743543137, 439685731]"
Wanda Smith DDS,F,741699452,2002-08-24,Junior,Mason Gross School of the Arts,0,0,['RA' 'NCA' 'BS'],Apartment,1,1,1,8000-11000,12000,"[295203825, 358079629]"
Tammy Bennett,F,593668231,2004-01-07,Freshman,Mason Gross School of the Arts,0,0,['BS' 'JS' 'MZH'],Apartment,1,0,1,8000-11000,12000,"[638470573, 577690470]"
