name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
Katie Singh,F,475643757,2004-05-12,Freshman,School of Communication and Information,0,1,['CS' 'TS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,5000,[]
Jodi Scott,F,149536653,2003-03-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'RA'],Apartment,1,1,1,4000-6000,6000,[769182449]
Wayne Lopez,M,967399872,2002-01-31,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['CS' 'BS' 'RA'],Suite,1,1,1,8000-11000,11000,[789737329]
Anne Mitchell,F,451275328,2002-06-22,Senior,School of Communication and Information,0,1,['SA' 'NCA' 'JS'],Suite,1,0,1,6000-8000,7000,[388686618]
Heather Moore,F,202137059,2003-09-26,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['AH' 'BS' 'WS'],Suite,1,1,1,8000-11000,11000,[510744862]
Elizabeth Butler,F,779313177,2005-06-24,Freshman,Mason Gross School of the Arts,0,1,['MS' 'CS' 'RA'],Suite,1,1,1,8000-11000,10000,"[663064744, 980173297]"
Corey Dean,M,818552107,2003-11-19,Freshman,School of Management and Labor Relations,0,1,['BS' 'NCA' 'MH'],Apartment,1,1,1,8000-11000,10000,"[633995577, 609793565]"
Christina Poole,F,130789389,2004-01-23,Sophomore,School of Arts and Sciences,0,0,['BH' 'MZH' 'BS'],Suite,1,0,1,8000-11000,11000,"[859919369, 721612624]"
Wesley Villanueva MD,M,282916109,2000-01-07,Freshman,School of Management and Labor Relations,0,0,['NCA' 'AH' 'SA'],Suite,1,1,1,8000-11000,11000,"[933193489, 876295388]"
James Hanson,M,568619157,2001-12-08,Junior,School of Arts and Sciences,0,0,['MS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,11000,"[663872273, 684297164]"
Antonio Washington,M,438579965,2000-06-24,Sophomore,School of Engineering,0,0,['NCA' 'RA' 'BS'],Suite,1,1,1,8000-11000,11000,[328158676]
Michelle Edwards,F,753115997,2001-05-19,Freshman,School of Management and Labor Relations,0,0,['SA' 'NCA' 'RA'],Suite,1,1,1,8000-11000,11000,[284835403]
Melissa Bean,F,439431871,2001-12-08,Sophomore,Mason Gross School of the Arts,1,1,['AH' 'JS' 'BH'],Suite,1,1,1,4000-6000,5000,"[146487297, 216408127]"
Chelsea Wilson,F,100153171,2000-02-21,Junior,School of Arts and Sciences,0,0,['AH' 'SA' 'MRS'],Suite,1,1,1,6000-8000,8000,[190919142]
Tony Hughes,M,883106598,2002-02-18,Freshman,School of Social Work,0,0,['SA' 'JS' 'TS'],Apartment,1,1,1,6000-8000,8000,[742452923]
Bradley Ruiz,M,944807885,2004-05-26,Junior,School of Social Work,0,1,['SA' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[984207829, 272128750]"
James Gomez,M,178831941,2003-11-13,Sophomore,Mason Gross School of the Arts,0,1,['WS' 'BH' 'CS'],Apartment,1,1,1,4000-6000,5000,[179321692]
Scott Martin,M,263620034,2003-03-12,Sophomore,School of Arts and Sciences,0,0,['SA' 'MH' 'TS'],Traditional Residence Hall,1,1,1,6000-8000,8000,[555023379]
Walter Foster,M,261226526,2001-02-08,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'MH' 'SA'],Apartment,1,1,1,4000-6000,5000,"[379652526, 919955483]"
Bobby Chavez MD,M,785097578,2001-04-21,Junior,Mason Gross School of the Arts,0,1,['BS' 'TS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,5000,[350717333]
