,name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
0,Nancy Williams,F,934865469,2002-10-21,Freshman,School of Arts and Sciences,0,0,['NCA' 'RA' 'SA'],Apartment,1,1,1,6000-8000,8000
1,William Tucker,M,855437170,1999-11-20,Freshman,School of Arts and Sciences,0,0,['MRS' 'CS' 'MH'],Suite,1,1,0,4000-6000,6000
2,Kristina Scott,F,726035277,2004-10-02,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MH' 'MZH' 'NCA'],Suite,1,1,1,4000-6000,6000
3,Jesse Bell,M,853819810,2003-07-12,Freshman,School of Engineering,0,0,['BS' 'MZH' 'RA'],Suite,1,1,1,4000-6000,6000
4,Emily Barnes,F,343870600,2005-07-23,Freshman,School of Management and Labor Relations,0,0,['NCA' 'CS' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,11000
5,Stacy Hernandez,F,800637337,2003-03-12,Freshman,School of Arts and Sciences,0,0,['WS' 'BH' 'JS'],Apartment,1,0,1,8000-11000,11000
6,Michelle Anderson,F,834144969,2004-08-28,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,8000
7,David Wood,M,189181175,2002-11-15,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'SA' 'MZH'],Suite,1,1,1,6000-8000,8000
8,Johnny Lewis,M,731708345,2002-07-30,Sophomore,School of Communication and Information,0,0,['SA' 'MRS' 'AH'],Apartment,1,1,1,8000-11000,11000
9,Barbara James,F,492660556,2005-07-16,Sophomore,School of Arts and Sciences,0,0,['JS' 'BH' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,8000
10,Douglas Rogers,M,726310775,2004-06-28,Sophomore,School of Arts and Sciences,0,0,['NCA' 'MZH' 'RA'],Suite,1,1,1,6000-8000,8000
11,Tammy Mcdonald,F,517748173,2004-02-08,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'RA' 'TS'],Apartment,1,1,1,4000-6000,6000
12,Francisco Lucero,M,659888620,2000-02-17,Junior,School of Management and Labor Relations,0,0,['SA' 'RA' 'NCA'],Apartment,1,1,1,8000-11000,11000
13,Stacey Fernandez,F,860934306,2001-01-23,Sophomore,School of Social Work,0,0,['BS' 'WS' 'NCA'],Suite,1,1,1,4000-6000,6000
14,Lisa Gardner,F,103752670,2002-01-29,Freshman,School of Engineering,0,1,['RA' 'WS' 'NCA'],Apartment,1,1,1,4000-6000,5000
15,Jennifer Chavez,F,538959377,1999-12-17,Freshman,School of Arts and Sciences,0,0,['BH' 'NCA' 'SA'],Suite,1,1,1,6000-8000,8000
16,Sabrina Holden,F,110991584,2004-09-09,Senior,School of Management and Labor Relations,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,8000-11000,11000
17,Michael Fitzgerald,M,572221187,2003-08-03,Freshman,School of Arts and Sciences,0,1,['BS' 'MZH' 'MS'],Apartment,1,1,1,4000-6000,5000
18,Jeremy Gonzales,M,470585367,2002-12-29,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['AH' 'BS' 'NCA'],Suite,1,1,1,4000-6000,5000
19,Anthony Davis,M,128360939,2004-05-23,Junior,School of Engineering,0,1,['MH' 'NCA' 'BS'],Suite,1,1,1,6000-8000,7000
20,William Camacho,M,352753137,2004-08-19,Junior,School of Arts and Sciences,0,0,['NCA' 'BH' 'RA'],Suite,1,1,1,4000-6000,6000
21,Cynthia Young,F,883562925,2003-08-15,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'CS' 'BS'],Apartment,1,1,1,4000-6000,5000
22,Lucas Hawkins,M,975317881,2003-12-07,Freshman,School of Social Work,0,0,['BS' 'AH' 'SA'],Suite,1,1,1,4000-6000,6000
23,David Bailey,M,879387481,2002-12-07,Senior,School of Arts and Sciences,0,0,['MRS' 'RA' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,11000
24,Crystal Patel,F,371956587,2004-11-22,Sophomore,School of Arts and Sciences,0,0,['WS' 'SA' 'MS'],Suite,1,1,1,8000-11000,11000
25,Morgan Roberts,F,677138209,1999-12-18,Sophomore,Mason Gross School of the Arts,0,0,['NCA' 'BH' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,11000
26,Stephen Mullen,M,756915958,2000-10-14,Freshman,School of Arts and Sciences,0,1,['MH' 'NCA' 'MRS'],Suite,1,1,1,4000-6000,5000
27,Sydney Martinez,F,775391169,1999-11-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BH' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,11000
28,Samantha Holland,F,684399391,2002-02-17,Sophomore,School of Arts and Sciences,0,0,['RA' 'MZH' 'CS'],Traditional Residence Hall,1,1,1,4000-6000,6000
29,Beverly Newton,F,554877699,2002-03-03,Sophomore,School of Arts and Sciences,1,0,['BS' 'SA' 'RA'],Suite,1,1,1,8000-11000,11000
