name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
Jennifer Simmons,F,977522906,2000-10-10,Sophomore,School of Engineering,1,0,['WS' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000
Courtney Murphy,F,567583671,1999-10-10,Sophomore,School of Arts and Sciences,0,0,['TS' 'BS' 'RA'],Apartment,1,1,1,4000-6000,7000
Alexander King,M,450859644,2002-08-26,Freshman,School of Arts and Sciences,0,0,['RA' 'MS' 'NCA'],Apartment,1,1,1,6000-8000,9000
Amanda Atkinson,F,826829351,2000-09-23,Sophomore,Mason Gross School of the Arts,0,1,['AH' 'SA' 'MS'],Suite,1,1,1,8000-11000,12000
Mark Rogers,M,852305641,2001-10-16,Junior,School of Arts and Sciences,0,0,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Lindsay Moore,F,691318429,2004-11-23,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['CS' 'SA' 'BS'],Suite,1,1,1,8000-11000,12000
David Grant,M,585749760,2001-10-06,Junior,Mason Gross School of the Arts,1,0,['RA' 'BS' 'JS'],Apartment,1,1,1,8000-11000,12000
Michael Wood,M,405883909,2003-03-10,Sophomore,School of Arts and Sciences,1,1,['BH' 'CS' 'WS'],Apartment,1,1,1,8000-11000,12000
Deanna Russell,F,966729559,2003-09-19,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'MH'],Apartment,1,1,1,8000-11000,12000
Laura Manning,F,940833526,2003-07-07,Freshman,Mason Gross School of the Arts,1,1,['BS' 'SA' 'BH'],Apartment,1,1,1,8000-11000,12000
Laura Perez,F,694594287,2001-05-13,Sophomore,School of Arts and Sciences,0,0,['MZH' 'CS' 'NCA'],Suite,1,1,1,6000-8000,9000
Andrew Hayes,M,942108763,2005-07-17,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['WS' 'BS' 'CS'],Apartment,1,1,1,4000-6000,7000
Heather Cooper,F,290282480,2005-09-17,Freshman,School of Arts and Sciences,0,1,['RA' 'CS' 'SA'],Apartment,1,0,1,8000-11000,12000
Molly Smith,F,156192943,2001-04-10,Freshman,School of Arts and Sciences,0,1,['NCA' 'MRS' 'BS'],Apartment,1,1,1,4000-6000,7000
Stephen Morgan,M,489914871,2004-03-11,Freshman,School of Social Work,0,0,['NCA' 'BS' 'MS'],Suite,1,1,1,4000-6000,7000
Jason Brown,M,241225895,2005-02-02,Sophomore,School of Engineering,0,0,['NCA' 'RA' 'MRS'],Traditional Residence Hall,1,1,1,6000-8000,9000
Sarah Rogers,F,203276565,2005-06-08,Freshman,School of Social Work,0,0,['RA' 'BS' 'NCA'],Suite,1,1,1,4000-6000,7000
Dave Diaz,M,338383548,2005-06-13,Freshman,School of Engineering,0,1,['MZH' 'AH' 'WS'],Apartment,1,1,1,4000-6000,7000
Betty Morales,F,914367253,2004-06-21,Sophomore,School of Arts and Sciences,0,0,['SA' 'TS' 'MRS'],Suite,1,1,1,8000-11000,12000
Holly Lopez,F,924085406,2005-03-14,Sophomore,School of Arts and Sciences,0,0,['MH' 'MS' 'SA'],Suite,1,1,1,8000-11000,12000
Sarah Brennan,F,271337775,2000-04-15,Freshman,School of Arts and Sciences,0,0,['TS' 'WS' 'RA'],Suite,1,1,1,8000-11000,12000
Marilyn Smith,F,141565380,2001-04-16,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'BH' 'NCA'],Suite,1,1,1,4000-6000,7000
Erica Chambers,F,233162418,1999-11-07,Sophomore,School of Arts and Sciences,0,0,['NCA' 'RA' 'JS'],Apartment,1,1,1,4000-6000,7000
Jack Brooks,M,670422954,2003-09-17,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'JS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Wanda Smith DDS,F,741699452,2002-08-24,Junior,Mason Gross School of the Arts,0,0,['RA' 'NCA' 'BS'],Apartment,1,1,1,8000-11000,12000
Tammy Bennett,F,593668231,2004-01-07,Freshman,Mason Gross School of the Arts,0,0,['BS' 'JS' 'MZH'],Apartment,1,0,1,8000-11000,12000
James Zuniga PhD,M,162655024,2000-10-10,Sophomore,School of Arts and Sciences,1,0,['TS' 'JS' 'MH'],Traditional Residence Hall,1,1,1,4000-6000,7000
Mrs. Jamie Wilson MD,F,930486862,2004-01-22,Senior,School of Engineering,0,0,['WS' 'JS' 'MH'],Apartment,1,1,1,8000-11000,12000
Clayton Cook,M,247796981,1999-12-26,Senior,School of Communication and Information,0,0,['BH' 'MZH' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Tyler Chan,M,326669910,2003-08-30,Sophomore,Mason Gross School of the Arts,0,0,['MZH' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000
Dennis Gonzalez,M,415540944,2002-11-08,Sophomore,School of Arts and Sciences,0,0,['RA' 'BH' 'NCA'],Suite,1,1,1,4000-6000,7000
Victor Leonard,M,443431178,2000-04-24,Sophomore,School of Social Work,0,1,['MRS' 'SA' 'MH'],Suite,1,1,1,4000-6000,7000
Mathew Jackson,M,205952430,2004-12-01,Freshman,School of Arts and Sciences,0,1,['BH' 'BS' 'MH'],Suite,1,1,1,4000-6000,7000
Dr. Michael Woodward,M,957729401,2000-06-08,Sophomore,Mason Gross School of the Arts,0,1,['BS' 'NCA' 'WS'],Suite,1,1,1,8000-11000,12000
Eric Gallegos,M,567460687,2004-03-08,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['BH' 'BS' 'CS'],Suite,1,1,1,4000-6000,7000
Jason Garcia,M,418206799,2003-12-30,Freshman,School of Communication and Information,0,1,['NCA' 'MH' 'SA'],Suite,1,1,1,6000-8000,9000
Meagan Mendez,F,408771254,2001-08-11,Freshman,School of Social Work,0,0,['NCA' 'BS' 'MS'],Suite,1,1,1,6000-8000,9000
Kathleen Burns,F,657824192,2004-08-05,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0,['MS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,9000
Steven Wolfe,M,643460572,2004-04-26,Junior,School of Arts and Sciences,0,0,['NCA' 'AH' 'BS'],Apartment,1,1,1,8000-11000,12000
Victor Harris,M,337211257,2005-05-04,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0,['MZH' 'MRS' 'NCA'],Suite,1,1,1,8000-11000,12000
Janet Walker,F,730538857,2000-01-19,Sophomore,School of Communication and Information,0,0,['NCA' 'BS' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,7000
James Zimmerman,M,454115642,2003-07-13,Freshman,School of Arts and Sciences,0,0,['RA' 'SA' 'BS'],Apartment,1,1,1,4000-6000,7000
Brian Mcmillan,M,853584029,2001-12-28,Sophomore,School of Arts and Sciences,0,1,['MZH' 'WS' 'MH'],Suite,1,1,1,8000-11000,12000
Daniel Bailey,M,702983217,2003-06-17,Freshman,School of Communication and Information,0,1,['WS' 'BS' 'MZH'],Apartment,1,0,1,8000-11000,12000
Kristen Molina,F,872170431,2004-06-08,Sophomore,Mason Gross School of the Arts,0,0,['AH' 'NCA' 'BH'],Suite,1,1,1,4000-6000,7000
Kristina Robertson,F,139272904,2004-01-07,Freshman,School of Arts and Sciences,0,1,['TS' 'SA' 'NCA'],Traditional Residence Hall,1,0,1,8000-11000,12000
Bobby Smith,M,489498604,2000-03-22,Junior,School of Management and Labor Relations,0,0,['TS' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,9000
Jason Davis,M,345442324,2001-11-25,Freshman,School of Environmental and Biological Sciences,0,0,['MS' 'NCA' 'RA'],Apartment,1,1,1,8000-11000,12000
Jamie Walker,F,957289830,2000-12-24,Freshman,School of Arts and Sciences,0,0,['MS' 'WS' 'BS'],Suite,1,0,1,8000-11000,12000
Ms. Laura Johnson,F,733508541,2005-03-16,Sophomore,School of Arts and Sciences,0,0,['AH' 'MS' 'TS'],Apartment,1,1,0,4000-6000,7000
