name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status
Jennifer Rivera,F,919036113,2004-12-16,Sophomore,School of Arts and Sciences,0,1
Keith Bailey,M,190623516,2003-05-06,Sophomore,School of Arts and Sciences,0,1
Jennifer Wood,F,309688831,2000-09-05,Sophomore,School of Arts and Sciences,0,0
Robert Holder,M,388518693,2005-05-06,Junior,School of Communication and Information,1,0
Samuel Mccall,M,818007229,2004-05-29,Freshman,School of Arts and Sciences,0,1
Amanda Williams,F,155210305,2001-02-20,Sophomore,School of Arts and Sciences,0,0
Debbie Lang,F,231125469,2004-07-30,Junior,School of Arts and Sciences,0,1
Emily Brennan,F,936896971,2002-04-16,Senior,School of Engineering,0,0
Mary Larson,F,401575001,2005-04-13,Sophomore,School of Arts and Sciences,0,0
Jamie Richards DVM,F,190209887,2005-06-16,Freshman,School of Environmental and Biological Sciences,0,0
Paula West,F,859411879,2001-05-07,Sophomore,School of Arts and Sciences,0,1
Lori Watson,F,483969132,2003-08-18,Freshman,School of Arts and Sciences,0,1
Jaime Thompson,M,228634656,2003-10-27,Freshman,School of Engineering,0,0
Ryan Mendoza,M,555995945,2002-07-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Jeffery Mccoy,M,262227876,2000-09-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Theodore Little,M,898707082,2002-04-07,Freshman,Rutgers Business School–Newark and New Brunswick,0,1
Kyle Diaz,M,777152032,2002-08-15,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1
Sara Gomez,F,938466098,2002-07-20,Freshman,School of Arts and Sciences,0,1
Jason Huff,M,860773863,2001-07-16,Freshman,Mason Gross School of the Arts,0,1
Kyle Snyder,M,476189310,2000-04-15,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Betty Estes,F,656819941,2002-10-03,Junior,School of Arts and Sciences,0,0
Randy Mendez,M,792314022,1999-11-12,Freshman,School of Arts and Sciences,0,0
Christopher Gonzalez,M,896313900,2000-09-16,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Meagan Moore,F,677940995,2005-07-18,Sophomore,School of Arts and Sciences,0,1
Alison Lyons,F,407235928,1999-11-08,Freshman,School of Engineering,0,1
Charles Joseph,M,548796197,2005-02-01,Sophomore,School of Arts and Sciences,0,0
Crystal Combs,F,102413977,2004-11-14,Senior,School of Arts and Sciences,0,0
Matthew Hensley,M,837738209,2004-02-04,Sophomore,Mason Gross School of the Arts,0,0
Christopher Meyers Jr.,M,821863812,2000-11-20,Sophomore,School of Arts and Sciences,0,1
Monica Garrison,F,531756676,2000-01-02,Freshman,Mason Gross School of the Arts,0,0
James Bond,M,743123738,2002-12-08,Sophomore,School of Arts and Sciences,0,1
Adam Brown,M,714633910,2000-10-04,Freshman,School of Arts and Sciences,0,0
William Reyes,M,332234722,2000-07-30,Freshman,School of Arts and Sciences,1,0
Steven Medina,M,494156847,2005-08-11,Freshman,Rutgers Business School–Newark and New Brunswick,1,0
David Turner,M,286458728,2002-11-22,Freshman,School of Arts and Sciences,0,0
James Roman,M,427239590,2004-09-17,Freshman,School of Arts and Sciences,0,0
Sean Jenkins,M,102678272,2005-03-23,Sophomore,School of Communication and Information,0,1
Jeffrey White,M,593368500,2004-03-17,Sophomore,School of Communication and Information,0,1
Joanna Martin,F,384523439,2001-02-23,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1
Jose Walker,M,994402217,2003-01-22,Sophomore,School of Communication and Information,0,0
Kelli Riley,F,390700648,2005-02-12,Freshman,School of Communication and Information,0,1
William Gibson,M,244761992,2002-11-15,Sophomore,School of Arts and Sciences,0,0
Richard Johnson,M,428586528,2001-02-27,Freshman,School of Management and Labor Relations,0,1
Crystal Johnson,F,101477700,2005-06-26,Sophomore,School of Arts and Sciences,0,0
Theresa Reed,F,643434596,2000-06-19,Sophomore,School of Engineering,0,0
Justin Roberts,M,640286465,1999-10-03,Freshman,School of Arts and Sciences,0,1
Linda Ortiz,F,258200557,2004-10-20,Junior,Mason Gross School of the Arts,0,1
Kelly Dyer,F,287184911,2002-02-13,Sophomore,School of Arts and Sciences,0,1
Jason Moreno,M,568928819,2003-03-13,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0
Dawn Craig,F,634490093,2004-12-09,Freshman,School of Engineering,0,0
Tammy Ortiz,F,666384457,2001-06-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Jessica Mcdonald,F,437546275,2001-02-02,Senior,School of Arts and Sciences,1,0
Stephen Paul,M,760043027,2002-02-22,Freshman,School of Arts and Sciences,0,0
Eric Pierce,M,708731830,2005-08-11,Freshman,School of Arts and Sciences,0,0
Max Smith,M,295301578,2004-11-26,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Tyler Lambert,M,298565040,2003-05-11,Junior,School of Arts and Sciences,0,0
Nicholas Mcdowell,M,665075587,2004-05-08,Junior,School of Arts and Sciences,0,0
