name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status
Christopher Williams,M,477565385,2000-09-17,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1
Megan Lopez,F,703986029,2000-07-12,Junior,School of Management and Labor Relations,0,0
Michael Cole,M,806948601,2001-06-05,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1
Gina Wilson,F,804671726,2002-12-30,Freshman,School of Arts and Sciences,0,0
Alice Hopkins,F,372981620,2003-10-29,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Brianna Curtis,F,574770983,2001-11-28,Freshman,School of Arts and Sciences,0,1
Anna Howell,F,879924027,2005-08-10,Sophomore,School of Social Work,0,0
Tony Banks,M,643264754,2001-05-08,Senior,School of Communication and Information,0,0
Alex Mejia,M,709483937,2001-09-13,Sophomore,School of Environmental and Biological Sciences,0,0
Jonathan Johns,M,345953311,2000-06-05,Freshman,School of Management and Labor Relations,0,0
Jody Malone,F,896225456,2005-05-24,Junior,School of Arts and Sciences,0,1
Aaron Jones,M,266155074,2004-01-11,Sophomore,School of Social Work,0,0
Mary Cain,F,189855749,2004-01-21,Senior,Rutgers Business School–Newark and New Brunswick,0,0
William Campbell,M,368933741,2003-08-10,Sophomore,Mason Gross School of the Arts,0,0
Sherry Richardson,F,686533338,2004-08-24,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Cynthia Aguilar,F,935046486,2000-07-14,Sophomore,School of Management and Labor Relations,0,1
Timothy Lee,M,962598169,2002-05-05,Freshman,School of Arts and Sciences,0,0
Yvette Jones,F,662318419,2003-08-11,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Martin Rollins,M,212834291,2000-02-05,Sophomore,School of Arts and Sciences,0,0
Cynthia Kelly,F,806687249,2000-03-01,Junior,School of Social Work,0,1
Terri Fry,F,499757213,2005-08-02,Senior,School of Arts and Sciences,0,1
Alice Brown,F,539343872,2000-07-26,Junior,School of Arts and Sciences,0,0
John Krause,M,138286983,1999-11-26,Junior,School of Communication and Information,0,0
Christopher Harris,M,486212217,2005-07-26,Freshman,School of Arts and Sciences,0,0
Michelle Martinez,F,626665276,2003-02-03,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Alan Hodge,M,975907193,2003-05-08,Freshman,School of Management and Labor Relations,0,0
Lisa Porter,F,292746618,2000-10-20,Sophomore,School of Management and Labor Relations,0,0
Samuel Johnston,M,907115051,2002-05-14,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0
Monique Ellis,F,137286273,2000-06-25,Junior,Mason Gross School of the Arts,0,0
Justin Hartman,M,771562084,2001-01-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,1
April Moore,F,515818620,2001-11-28,Freshman,Mason Gross School of the Arts,0,1
Wendy Pruitt,F,264815246,2005-04-07,Sophomore,School of Communication and Information,0,0
Logan Guerrero,M,670068509,1999-12-20,Junior,Mason Gross School of the Arts,0,0
Leroy Garcia,M,832884232,2004-05-04,Freshman,School of Arts and Sciences,0,0
Jason Stout,M,168419525,2003-12-24,Freshman,School of Environmental and Biological Sciences,0,0
Benjamin Cohen,M,855619272,2000-07-28,Sophomore,School of Management and Labor Relations,0,0
Tyler Medina,M,472449624,2002-08-23,Junior,Mason Gross School of the Arts,0,0
Kimberly Taylor,F,938437301,2000-05-08,Freshman,Mason Gross School of the Arts,0,0
Mark Sweeney,M,980017784,2004-11-23,Senior,School of Communication and Information,0,1
Erin Hunt,F,674754299,2002-08-14,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1
Jose King,M,786200078,2000-03-13,Sophomore,School of Environmental and Biological Sciences,0,0
Courtney Williams,F,443887747,2002-10-30,Freshman,School of Arts and Sciences,0,0
Edward Martinez,M,813017890,2001-03-10,Freshman,School of Management and Labor Relations,0,0
Vincent Jenkins,M,244115817,1999-12-06,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Linda Baker,F,275265231,2002-02-22,Junior,School of Social Work,0,0
Zachary Rhodes,M,352045972,2005-05-17,Sophomore,School of Environmental and Biological Sciences,1,0
Matthew Wilkinson,M,858451785,2001-10-25,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Linda Williams,F,214708800,2004-03-18,Junior,School of Environmental and Biological Sciences,1,0
Nathan Taylor,M,974412748,2000-03-27,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Stephen Bond,M,948106833,2005-07-02,Freshman,School of Communication and Information,0,1
Debbie Ruiz,F,336028003,1999-11-06,Sophomore,School of Arts and Sciences,0,1
Brooke Allison,F,787811780,2005-04-02,Freshman,Mason Gross School of the Arts,0,0
Dawn Curry,F,224600066,2002-02-22,Freshman,School of Environmental and Biological Sciences,1,0
Lisa Jenkins,F,916222244,2004-07-20,Sophomore,School of Environmental and Biological Sciences,0,0
Bryce Chang,M,864458096,2004-03-09,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Kenneth Wagner,M,887188253,2003-12-08,Freshman,School of Social Work,0,0
Christina Rowe,F,908690797,2003-12-05,Junior,Rutgers Business School–Newark and New Brunswick,1,1
Mary Velazquez,F,342132689,2004-09-15,Freshman,Mason Gross School of the Arts,0,0
Kevin Mclaughlin,M,890057051,2005-07-05,Sophomore,School of Arts and Sciences,0,0
Ryan Aguirre,M,626504025,2001-07-06,Sophomore,School of Engineering,0,0
John Green,M,629587210,2003-09-28,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
James Reynolds,M,881901491,2000-09-08,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Marc Ellison,M,928095773,2002-08-07,Freshman,School of Arts and Sciences,0,1
Cynthia Smith,F,362978516,2002-03-16,Freshman,School of Social Work,0,1
Jason Krause,M,366432977,2001-09-18,Senior,School of Arts and Sciences,0,0
Nicholas Williams,M,750270233,2001-09-18,Sophomore,School of Environmental and Biological Sciences,0,1
Kristin Herring,F,979187099,2001-05-14,Freshman,School of Arts and Sciences,0,0
Charles Thompson,M,985138227,2001-10-05,Senior,School of Engineering,0,0
Sandra Duffy,F,768822541,2000-08-05,Freshman,School of Environmental and Biological Sciences,1,0
Cynthia Gilbert,F,272781644,2005-03-30,Sophomore,School of Social Work,0,0
Whitney Sullivan,F,566189388,2001-01-03,Freshman,School of Arts and Sciences,0,1
Elizabeth Bell,F,523982306,2003-08-29,Sophomore,School of Social Work,0,0
Matthew Anderson,M,696196258,2002-11-01,Senior,School of Environmental and Biological Sciences,1,1
Stephen Skinner,M,109341872,2000-12-26,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0
Christopher Mccarthy,M,776784192,2002-06-18,Sophomore,School of Social Work,0,0
Dr. Eddie Boone,M,591213316,2004-11-30,Junior,School of Social Work,0,0
Jessica Terrell,F,131735908,2000-07-16,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1
Donna Taylor,F,230993373,2003-10-30,Freshman,Mason Gross School of the Arts,0,1
Brooke Morris,F,243969521,2000-12-30,Freshman,School of Arts and Sciences,0,0
Ryan Shea,M,550558129,2002-03-13,Sophomore,School of Arts and Sciences,0,0
Michael Bennett,M,412976966,1999-10-18,Freshman,School of Engineering,0,0
Brittany Schultz,F,127802869,2003-06-29,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Angela Faulkner,F,441888780,2000-01-14,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1
Pamela Kelley,F,935601458,2002-07-31,Junior,School of Management and Labor Relations,0,1
Steven Stevens,M,133904855,2004-02-27,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Christine Thomas,F,502480090,2000-03-03,Junior,School of Arts and Sciences,0,0
Jose Vasquez,M,830740564,2005-08-15,Freshman,School of Social Work,0,0
Kristen Davis,F,834502281,2001-06-10,Freshman,Rutgers Business School–Newark and New Brunswick,0,1
Vanessa Rose,F,159177794,2001-03-15,Junior,Mason Gross School of the Arts,0,0
Michele Smith,F,738647787,2005-08-26,Junior,School of Social Work,0,0
Heather Noble,F,308220732,2000-10-09,Senior,School of Social Work,0,0
Sophia Martin,F,368955914,2002-03-07,Freshman,School of Arts and Sciences,0,0
David Perez,M,619096192,2004-10-12,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0
Ryan Martinez,M,764429756,2005-04-17,Freshman,School of Management and Labor Relations,0,0
Michael Curtis,M,799394674,2000-03-26,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Kevin Stephens,M,346637902,2003-04-10,Sophomore,School of Management and Labor Relations,0,1
John Guerra,M,803292701,2001-04-29,Freshman,School of Environmental and Biological Sciences,0,1
Francisco Long,M,135727578,2003-12-23,Freshman,School of Management and Labor Relations,0,1
Michael Lee,M,103270760,2003-10-09,Sophomore,School of Social Work,0,0
Joseph Morrison,M,271730512,2003-05-07,Junior,School of Environmental and Biological Sciences,0,1
Kyle White,M,571923742,2002-02-25,Sophomore,School of Environmental and Biological Sciences,0,0
Christopher Love,M,297576467,2000-03-08,Freshman,Mason Gross School of the Arts,0,1
Meghan Hill,F,168618207,2003-01-23,Junior,School of Social Work,0,0
Jane Mccarthy,F,367187754,2003-10-09,Junior,School of Arts and Sciences,0,0
Sharon Martinez,F,640125507,2003-05-05,Junior,Rutgers Business School–Newark and New Brunswick,0,1
Tina Holmes MD,F,479167816,2002-03-22,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Martha Gonzalez,F,293302373,2000-03-29,Freshman,School of Engineering,0,0
Dana Kim,F,854679702,2001-10-30,Junior,Mason Gross School of the Arts,0,0
Megan Green,F,133094290,2002-10-05,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
James Harrison,M,794489521,2004-04-03,Junior,School of Engineering,0,0
Megan Brandt,F,228725876,2002-12-31,Sophomore,School of Arts and Sciences,0,0
Samuel Williams,M,452289396,2000-05-02,Senior,Edward J. Bloustein School of Planning and Public Policy,0,1
Toni Stein MD,F,764843672,2002-08-06,Freshman,School of Communication and Information,1,1
Andre Edwards,M,165854593,2004-01-04,Junior,School of Arts and Sciences,0,1
Dr. Kathy Lloyd,F,358227900,2004-05-16,Sophomore,Mason Gross School of the Arts,0,0
Julia Zimmerman,F,592835085,2001-04-14,Freshman,School of Arts and Sciences,1,1
Carl Rogers,M,692622361,2001-09-08,Freshman,Mason Gross School of the Arts,0,1
Courtney Hunt,F,106190068,2002-12-08,Junior,School of Arts and Sciences,0,1
Sherri Love,F,748577571,2003-08-06,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Tyler Chandler,M,232156365,2003-07-26,Sophomore,School of Environmental and Biological Sciences,0,0
Dr. Debbie Graves MD,F,485060850,2004-07-16,Sophomore,School of Management and Labor Relations,0,0
Chad Williams,M,354144127,2000-10-08,Senior,School of Engineering,0,0
David Ryan,M,332185687,2003-09-04,Senior,School of Environmental and Biological Sciences,0,0
