name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status
Courtney Berry,F,147555717,2001-05-11,Junior,Mason Gross School of the Arts,0,0
Theresa Miller,F,968187013,2002-06-25,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Crystal Williams,F,302996356,2002-01-21,Sophmore,School of Environmental and Biological Sciences,0,0
Deanna Brown,F,503336132,2004-08-21,Sophmore,School of Graduate Studies,0,0
Dawn Jimenez,F,840806900,2003-11-06,Freshman,School of Communication and Information,0,0
Heather Kelley,F,283314376,2003-12-14,Sophmore,Mason Gross School of the Arts,0,0
Jennifer Ashley,F,414405921,2005-02-06,Freshman,Graduate School of Education,0,0
Patricia James,F,711810119,2002-09-25,Junior,School of Communication and Information,0,0
Samantha Newman,F,691623505,2005-05-15,Freshman,School of Environmental and Biological Sciences,0,0
Tyler Rivas,M,922947069,2002-04-27,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Michael White,M,544545921,2004-04-30,Senior,Mason Gross School of the Arts,0,0
Kenneth Harris,M,478287263,2005-03-14,Senior,School of Graduate Studies,0,0
Dr. Julie Berg,F,302280468,2002-07-27,Freshman,Graduate School of Applied and Professional Psychology,1,0
Brian Gates,M,540355905,2003-04-06,Sophmore,Mason Gross School of the Arts,0,0
Shannon Mccormick,F,230230039,2002-10-27,Freshman,Graduate School of Education,0,0
Zachary Mitchell,M,682555124,2005-01-12,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Cynthia Meyers,F,942380885,2004-11-26,Sophmore,School of Engineering,0,0
Jared Smith,M,481547339,2001-07-21,Freshman,School of Communication and Information,0,0
Lisa Mitchell,F,740694189,2004-07-30,Junior,School of Engineering,0,0
Carolyn Hanson,F,862807759,2003-04-29,Junior,School of Environmental and Biological Sciences,0,0
Heather Glover,F,919370721,2001-03-01,Freshman,Graduate School of Education,0,0
Dakota Sullivan,M,728916885,2005-08-05,Junior,Mason Gross School of the Arts,0,0
Michael Williams,M,601093818,2005-04-07,Junior,School of Engineering,0,0
Robert Martinez,M,222082424,2004-04-14,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Samuel Jones,M,219536482,2004-03-24,Sophmore,Edward J. Bloustein School of Planning and Public Policy,0,0
Misty Ellis,F,226216292,2000-06-03,Sophmore,Rutgers Business School–Newark and New Brunswick,0,0
Christopher Malone,M,113189543,2004-08-09,Senior,School of Environmental and Biological Sciences,0,0
Christopher Simmons,M,168075651,1999-12-28,Senior,Graduate School of Applied and Professional Psychology,0,0
Tina Adams,F,208517565,2004-10-07,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Kevin Torres,M,203245863,2002-06-21,Sophmore,School of Engineering,0,0
Donald Parker,M,634583892,2000-10-02,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Randall Benson,M,954149079,2000-09-07,Sophmore,School of Engineering,0,0
Glen Curry,M,399181335,2005-07-16,Freshman,Graduate School of Education,0,0
Katrina Krause DVM,F,750954453,2004-10-25,Sophmore,School of Arts and Sciences,1,0
Cynthia Robles,F,264234007,2000-04-14,Sophmore,School of Arts and Sciences,0,0
Brittany Hansen,F,549064631,2003-06-28,Senior,School of Arts and Sciences,0,0
Megan Howell,F,573487223,2002-05-09,Sophmore,Edward J. Bloustein School of Planning and Public Policy,0,0
Richard Williams,M,255727646,2002-07-06,Junior,Graduate School of Education,0,0
Jennifer Trujillo,F,340379511,2005-06-24,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Edward King,M,526839229,2001-10-20,Junior,School of Engineering,0,0
Bridget Silva,F,187555447,2003-03-05,Sophmore,School of Communication and Information,0,0
Laurie Davis,F,173004326,2005-06-11,Sophmore,Rutgers Business School–Newark and New Brunswick,0,0
Mrs. Beth Herring,F,126565244,2004-12-31,Sophmore,Mason Gross School of the Arts,0,0
Catherine Miles,F,930993067,2003-12-09,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Lindsey Freeman,F,455158641,2004-10-19,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Tina Reyes,F,726887272,2001-12-04,Senior,School of Graduate Studies,0,0
Andre Rodriguez,M,809859986,2000-12-18,Freshman,School of Environmental and Biological Sciences,0,0
Andre Allen,M,306948438,2002-05-18,Sophmore,School of Arts and Sciences,0,0
Benjamin Wilson,M,209711955,2000-11-14,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Cheyenne Ingram,F,491838425,2003-04-20,Senior,School of Communication and Information,0,0
Victoria Brown,F,563273051,2004-05-28,Sophmore,School of Communication and Information,0,0
Elaine Anderson,F,490652980,2004-11-02,Freshman,School of Communication and Information,0,0
Martha Short,F,322850038,2004-02-22,Senior,School of Environmental and Biological Sciences,0,0
Michael Richardson,M,848369918,2000-09-28,Freshman,School of Graduate Studies,0,0
Jacob Watts,M,641118506,2000-07-19,Freshman,School of Arts and Sciences,0,0
Alexis Welch,F,765359586,2004-05-21,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Jennifer Jones,F,271466730,2004-04-13,Senior,Mason Gross School of the Arts,0,0
Kimberly Kaufman,F,269057506,2001-04-10,Freshman,Graduate School of Education,0,0
David Fernandez,M,911589942,2003-07-31,Junior,School of Environmental and Biological Sciences,1,0
Steve Barber,M,413016828,2000-08-09,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Nicole Gates,F,234259346,2005-07-02,Sophmore,School of Environmental and Biological Sciences,0,0
Robin Small,F,166449371,2004-07-07,Freshman,School of Environmental and Biological Sciences,0,0
Lisa Murray,F,575322483,2001-02-23,Senior,Graduate School of Education,0,0
Heather Kelly,F,519090626,2003-02-24,Junior,School of Environmental and Biological Sciences,0,0
Bethany Arnold,F,118148794,2001-05-04,Junior,School of Graduate Studies,0,0
Michael Bright,M,288562454,2000-10-07,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
David Lester,M,462276595,2001-10-11,Sophmore,Graduate School of Education,0,0
Gary Wilson,M,110814489,2004-04-09,Junior,Graduate School of Education,0,0
Adam Rogers,M,809807368,2000-06-05,Freshman,School of Arts and Sciences,0,0
